                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 0.7897,                 0.5545,                0.95356,                0.94598,                0.91327,                0.95039,                0.73807,                 0.7584,                0.51029,                0.94262,              0.0017584,              0.0017584,              0.0017584
                     64,                0.83121,                0.57351,                0.97173,                0.95021,                0.93674,                0.95894,                0.75641,                0.71958,                0.46751,                0.92308,              0.0017545,              0.0017545,              0.0017545
                     65,                0.78584,                0.55715,                 0.9756,                0.95094,                0.89189,                0.95335,                0.76244,                0.69936,                 0.4828,                0.91025,              0.0017505,              0.0017505,              0.0017505
                     66,                0.79237,                0.60022,                0.98609,                0.96424,                0.90975,                0.95981,                0.75622,                0.71139,                0.48411,                0.92263,              0.0017466,              0.0017466,              0.0017466
                     67,                0.77442,                0.55672,                0.94607,                0.96908,                0.91411,                0.96466,                0.76789,                0.67108,                0.45427,                0.91351,              0.0017426,              0.0017426,              0.0017426
                     68,                0.75662,                0.52959,                0.93386,                0.97895,                0.90184,                0.96135,                 0.7567,                0.68524,                0.46311,                0.90806,              0.0017386,              0.0017386,              0.0017386
                     69,                0.74523,                0.54761,                0.95242,                0.95902,                0.92638,                 0.9714,                0.76455,                0.72213,                0.46544,                0.92323,              0.0017347,              0.0017347,              0.0017347
                     70,                0.81576,                0.62225,                0.97885,                0.95882,                0.92841,                0.95778,                0.74714,                0.76039,                0.47593,                0.94213,              0.0017307,              0.0017307,              0.0017307
                     71,                0.80532,                0.55291,                  0.988,                0.95021,                0.91411,                0.95226,                0.74426,                0.72509,                0.50891,                0.94323,              0.0017268,              0.0017268,              0.0017268
                     72,                0.75823,                0.54573,                0.95778,                0.93509,                0.93558,                0.95865,                0.73952,                0.76017,                0.52799,                0.93876,              0.0017228,              0.0017228,              0.0017228
                     73,                0.79405,                0.56973,                0.96086,                0.94831,                0.90037,                0.94268,                0.74767,                 0.7094,                0.51942,                0.92839,              0.0017188,              0.0017188,              0.0017188
                     74,                0.77458,                0.53569,                 0.9537,                0.94048,                0.92087,                  0.949,                 0.7555,                0.68407,                0.48029,                0.90775,              0.0017149,              0.0017149,              0.0017149
                     75,                0.74507,                0.52221,                0.94834,                 0.9397,                0.93558,                0.95703,                0.76715,                 0.6611,                0.48647,                0.89612,              0.0017109,              0.0017109,              0.0017109
                     76,                0.75662,                0.53179,                0.94966,                0.94386,                 0.9283,                0.95932,                0.74213,                0.71815,                 0.4958,                0.92915,               0.001707,               0.001707,               0.001707
                     77,                 0.7716,                0.52963,                0.94186,                0.96562,                0.92025,                0.96289,                0.76934,                0.65903,                0.45871,                0.90725,               0.001703,               0.001703,               0.001703
                     78,                0.72205,                0.52567,                0.96625,                0.93543,                0.91104,                0.94701,                0.77336,                0.63206,                0.46619,                0.89218,               0.001699,               0.001699,               0.001699
                     79,                0.73187,                0.52693,                0.94828,                0.94348,                0.92168,                0.95886,                0.76514,                0.67214,                0.44862,                0.90006,              0.0016951,              0.0016951,              0.0016951
                     80,                0.72632,                0.51329,                0.93127,                 0.9445,                0.88741,                0.95562,                0.77041,                0.67556,                0.47026,                0.91419,              0.0016911,              0.0016911,              0.0016911
                     81,                0.76169,                0.54987,                 0.9516,                0.96784,                0.92321,                0.96675,                0.77041,                0.67598,                0.46127,                0.90026,              0.0016872,              0.0016872,              0.0016872
                     82,                0.73374,                0.52518,                0.93239,                0.97086,                0.91989,                 0.9649,                 0.7812,                 0.6424,                0.43393,                0.88818,              0.0016832,              0.0016832,              0.0016832
                     83,                0.71819,                0.50434,                0.95006,                0.94554,                0.90545,                0.95383,                 0.7473,                0.73919,                0.47714,                0.92806,              0.0016792,              0.0016792,              0.0016792
                     84,                0.76262,                0.49035,                0.95074,                0.94325,                0.91104,                0.95717,                0.78749,                0.64338,                 0.4474,                0.88657,              0.0016753,              0.0016753,              0.0016753
                     85,                0.78953,                0.54152,                0.96617,                0.96812,                0.93155,                0.97163,                0.79349,                0.64045,                0.42967,                0.88418,              0.0016713,              0.0016713,              0.0016713
                     86,                0.72843,                0.50043,                0.93149,                0.95646,                0.94328,                0.96363,                0.79854,                0.64269,                0.42421,                0.89016,              0.0016674,              0.0016674,              0.0016674
                     87,                0.73802,                0.52583,                0.93257,                0.96499,                0.89877,                0.96906,                0.79193,                0.64513,                0.44849,                0.89608,              0.0016634,              0.0016634,              0.0016634
                     88,                0.70869,                0.51813,                0.94533,                0.94687,                0.92927,                0.97123,                0.78824,                0.66091,                0.43126,                0.89572,              0.0016594,              0.0016594,              0.0016594
                     89,                0.72593,                0.49303,                0.95501,                0.96142,                0.93252,                0.96653,                 0.7931,                0.63838,                0.41976,                0.88649,              0.0016555,              0.0016555,              0.0016555
                     90,                0.76297,                0.53484,                0.94597,                0.93918,                0.93865,                0.96499,                0.77725,                0.66131,                0.44256,                0.90148,              0.0016515,              0.0016515,              0.0016515
                     91,                0.74611,                0.54178,                0.96075,                0.95115,                0.93252,                0.96219,                0.76929,                0.69116,                 0.4556,                0.90584,              0.0016476,              0.0016476,              0.0016476
                     92,                 0.7437,                0.50034,                0.97494,                0.92607,                0.94785,                0.97027,                0.78711,                0.64368,                0.44458,                0.88253,              0.0016436,              0.0016436,              0.0016436
                     93,                0.69312,                0.49929,                0.90928,                0.95949,                0.94446,                0.96956,                0.79334,                0.62005,                0.43479,                0.88788,              0.0016396,              0.0016396,              0.0016396
                     94,                0.68328,                0.48312,                 0.9352,                0.95638,                 0.9416,                0.97522,                0.80192,                 0.5971,                0.39914,                 0.8725,              0.0016357,              0.0016357,              0.0016357
                     95,                0.69203,                0.48177,                0.91885,                0.96229,                0.93941,                0.97496,                0.80623,                0.60516,                0.39462,                 0.8725,              0.0016317,              0.0016317,              0.0016317
                     96,                0.72932,                0.48907,                0.93933,                0.97017,                0.93558,                0.97553,                0.80911,                0.60319,                0.40043,                 0.8699,              0.0016278,              0.0016278,              0.0016278
                     97,                0.70607,                0.49852,                0.91775,                0.95816,                0.94785,                0.97196,                0.81293,                0.56887,                0.40061,                0.86888,              0.0016238,              0.0016238,              0.0016238
                     98,                0.68049,                0.47778,                 0.9175,                0.96587,                0.94785,                0.97104,                0.81074,                0.57536,                0.39757,                0.87351,              0.0016198,              0.0016198,              0.0016198
                     99,                0.69201,                0.47232,                0.91053,                0.96527,                0.93772,                0.96374,                0.80934,                0.58624,                0.40893,                0.87001,              0.0016159,              0.0016159,              0.0016159
                    100,                0.70278,                 0.4867,                0.94747,                0.97245,                0.94172,                0.97417,                0.80157,                0.61706,                 0.3938,                0.88564,              0.0016119,              0.0016119,              0.0016119
                    101,                0.69141,                0.49469,                 0.9322,                0.95949,                0.94459,                0.97303,                0.80676,                0.59342,                0.39404,                0.87766,               0.001608,               0.001608,               0.001608
                    102,                0.68962,                0.49056,                0.94333,                0.95733,                0.96344,                 0.9786,                0.80664,                0.59983,                0.39959,                0.87016,               0.001604,               0.001604,               0.001604
